id,persona,scenario,route,component_file,screen_area,friction,severity,frequency,evidence,suggested_fix,burden_type,round
T1-10,T1,#1,/freelancer/learninghub?tab=home,home/NextLesson.tsx,Next lesson hero,"'Start lesson' only switches to the Live tab; 3-4 taps to be in the room; no per-student prep (last score, homework status)",3,,,Open the Lobby directly; show 1 line per student,,1
T1-11,T1,#1,/freelancer/learninghub?tab=home,LearningHubApp.tsx,First load,"35-40 s to first content, 'Checking access...' then skeleton; each tab switch shows a skeleton again (only Lessons stays mounted)",3,,,Cache last Home data; stale-while-revalidate per tab,,1
T1-12,T1,#3,/freelancer/learninghub?tab=homework,homework/hwPack.tsx,Base it on a lesson,"Search returns 6 titles only, no year/subject/topic; cannot verify Year 4/5; no 'show more'",3,,,"Show year + topic + question count, add year chips",,1
T1-13,T1,#3,/freelancer/learninghub?tab=homework,homework/hwPickers.tsx,Attach a quiz,Quiz search has no year filter; dropdown shows title + question count only; no preview inside the form,2,,,Year filter and Preview link beside the picker,,1
T1-14,T1,#3,/freelancer/learninghub?tab=homework,homework/HomeworkForm.tsx,Due date,Full form uses a native date input (default 7 days); 'Tomorrow' chips exist only in the lesson mini-form,3,,,Add Tomorrow/3 days/1 week chips,,1
T1-15,T1,#3,/freelancer/learninghub?tab=homework,homework/HomeworkForm.tsx,Form length,"Nine fields, two similar lesson searches ('Base it on a lesson' vs 'Link lessons (optional)'); about 200 words of labels",2,,,Fold optional fields under 'More options',,1
T1-16,T1,#3,/freelancer/learninghub?tab=students,GroupsSection.tsx,Group tile,When a group already has homework the big tile opens the existing list; creating needs the small '+' (icon only),2,,,Label the create button 'Set new' and keep it visible,,1
T1-17,T1,#3,/freelancer/learninghub?tab=notes,lesson/HomeworkForLesson.tsx,Lesson Set homework,"Mini-form picks students individually (yearGroup null): no group chip, no 'all Year N'",2,,,Reuse GroupQuickPick and year-mates,,1
T1-18,T1,#9,/freelancer/learninghub?tab=quizzes,quiz/AssessmentBuilder.tsx,Builder modal,"Subject, pass mark, timer, audience and retakes (about 250 words) come before the question picker; questions are below the fold",3,,,Questions first; settings under 'Options',,1
T1-19,T1,#9,/freelancer/learninghub?tab=quizzes,quiz/AssessmentBuilder.tsx,Question bank,"Reuse is one '+ Add' tap per question; no multi-select, no random pick, no '10 of 10' counter; rows show prompt only",3,,,Checkboxes + 'Add N selected'; question counter,,1
T1-20,T1,#9,/freelancer/learninghub?tab=quizzes,quiz/AssessmentList.tsx,Quiz card,"No Duplicate/Copy quiz; 'Edit existing' edits the original in place, risking a live quiz",3,,,Add 'Duplicate' and warn when editing a set quiz,,1
T1-21,T1,#9,/freelancer/learninghub?tab=quizzes,quiz/QuestionForm.tsx,New question,Question form opens as a modal over the builder modal; about 8 actions per multiple-choice question; new question has no year so year filter hides it; draft questions block publish only at save,3,,,Inline row-add in the builder; default year from the quiz; auto-publish,,1
T1-22,T1,#10,/freelancer/learninghub?tab=notes,lesson/FlashcardsForLesson.tsx,Send flashcards,Flashcards assigned immediately with no due date; student picker has no year shortcut; tile disappears silently when topic has 0 cards,2,,,Year shortcut; show 'no cards for this topic',,1
T1-23,T1,#10,/freelancer/learninghub?tab=notes,lesson/LessonTutorPanel.tsx,Worksheet,Worksheet has its own 'Set worksheet as homework' button only when the lesson has one; 'Set homework' tile assigns the lesson not the worksheet; Home tile says 'Worksheets 1',3,,,"One Set for children action offering lesson, worksheet and cards",,1
T1-24,T1,#10,/freelancer/learninghub?tab=homework,homework/HomeworkForm.tsx,Flashcards to revise,"Select lists every topic in the account (about 2,457) alphabetically; homework pack ignores worksheetAssessmentId",3,,,Search the topic; include the worksheet in the pack,,1
T1-25,T1,#10,/freelancer/learninghub?tab=notes,NotesPanel.tsx,Lessons list,Curriculum heat-map card sits above the search/year filter and pushes the list down,2,,,Collapse the card by default,,1
T1-26,T1,#12,/freelancer/learninghub?tab=questions,LearningHubApp.tsx,Tab badge,"Unread messages shown only as a badge on the 11th tab (clipped on desktop, off-screen on phone); Home does not mention them",3,,,Add 'N unread messages' to the Attention card,,1
T1-27,T1,#12,/freelancer/learninghub?tab=questions,QuestionsPanel.tsx,Thread list,"Three nested accordions (student, lesson, thread) and one-line previews; about 3 taps to open each thread; opening marks read with no 'mark unread'",3,,,Flat unread-first list,,1
T1-28,T1,#12,/freelancer/learninghub?tab=questions,QuestionsPanel.tsx,Phone layout,"Below 1024 px the thread pane renders under the entire folder list, no scroll-into-view",3,,,Separate thread screen on phone,,1
T1-29,T1,#12,/freelancer/learninghub?tab=questions,QuestionsPanel.tsx,Reply,No quick replies (unlike MarkDialog chips); tab label 'Student message centre' is long,1,,,Reuse quick-reply chips; label 'Messages',,1
T1-30,T1,#13,/freelancer/learninghub?tab=tools,tools/ToolsPanel.tsx,Tool grid,About 120 of 155 catalogue tiles are greyed 'In build'/'Coming soon'; clicking one just logs interest; 'Ready to use only' is off by default,2,,,Default to ready tools only,,1
T1-31,T1,#13,/freelancer/learninghub?tab=tools,HubTabs.tsx,Tab strip,Tools is tab 9 of 11 with a generic label and fallback sparkle icon; not discoverable and cannot attach a tool to a student or homework,2,,,Link tools from lessons/live; 'Show to student',,1
T1-32,T1,#2,/freelancer/learninghub?tab=homework,homework/TutorHomework.tsx,Segmented control,'Set homework' is both the primary button and the name of a list view (assignments) next to Inbox,2,,,Rename the view 'Assigned',,1
T1-33,T1,#3,/freelancer/learninghub?tab=students,StudentsPanel.tsx,Groups section,Groups block sits above the 8 student cards and is tall (three tiles per group),2,,,Collapse groups or move below list,,1
T2-01,T2,a,/company/learninghub?tab=home,features/learninghub/home/TutorHome.tsx,Needs your attention,"Counts are business-wide; no per-tutor view of overdue/unmarked/quiet, so I cannot see which tutor is behind",4,,TutorHome.tsx:165-172; tutorUid only used for mine filter (StudentsPanel.tsx:369),"Add tutor filter/column (group by tutorUid) to attention card, Students and Homework",,1
T2-02,T2,"a,f",/company/learninghub?tab=home,features/learninghub/home/TutorHome.tsx,Scope toggle vs attention,"My/Everyone toggle on Home only scopes lessons; attention counts, feed and nudges stay business-wide",3,,TutorHome.tsx:90-104 (only lessons filtered) vs :158 toggle,"Apply scope to inbox, attempts, quiet and nudges",,1
T2-03,T2,b,/company/setup?tab=hub,features/setup/SetupApp.tsx,Marking & progress,"Pass mark change only affects NEW quizzes; existing quizzes keep old mark, no count or apply-to-all",3,,"SetupApp.tsx:2527 hint; AssessmentBuilder.tsx:42,129",Show 'N quizzes use another pass mark' with Apply to all,,1
T2-04,T2,b,/company/setup?tab=hub,features/learninghub/quiz/AssessmentBuilder.tsx,Quiz builder,Show right answers has no per-quiz override though pass mark and retakes do; inconsistent rule model,2,,AssessmentBuilder.tsx:129 body lacks reveal; hubRules.ts:299 tenant only,Add optional per-quiz 'answers' select defaulting to tenant rule,,1
T2-05,T2,b,/company/learninghub (hero),features/learninghub/HubHero.tsx,Hero settings link,"Hub rules are outside the hub: icon-only gear leaves to Setup, no visible 'Settings' word or in-hub rules summary",3,,HubHero.tsx:72 aria-label only; SetupApp.tsx:2523,Text link 'Marking rules' in hub; show current pass mark/reveal read-only in Quizzes tab,,1
T2-06,T2,d,/company/learninghub?tab=dashboard,features/learninghub/progress/ProgressView.tsx,Most recent progress,"Progress is 'last 20 quiz scores', not the term; no date range; placement baseline excluded; 'Quizzes taken' caps at 20+",3,,"ProgressView.tsx:80,96-98; TrendChart.tsx:13",Add 'Since date' range and start-vs-now band incl. placement,,1
T2-07,T2,d,/company/learninghub?tab=dashboard,features/learninghub/progress/ProgressView.tsx,Student progress,No print / PDF / share for a parent; screen also shows tutor controls so screenshots are not parent-ready,4,,no print handler in progress/ or ProgressPanel.tsx,Print/save-as-PDF parent summary per student,,1
T2-08,T2,e,/company/learninghub,features/learninghub/panels.tsx,Tab strip,"All 11 tabs always shown; cannot hide Placement test, Flashcards, Tools, Curriculum for a camp or single-tutor tenant",3,,panels.tsx:31 fixed TAB_ORDER; HubTabs has no feature flag,Hub setting 'Tabs to show',,1
T2-09,T2,a,/company/learninghub?tab=home,features/learninghub/home/ClassSnapshot.tsx,Student snapshot,Snapshot shows 8 students x 6 subjects max of 120; the rest is '+112 more students',2,,"ClassSnapshot.tsx:14,52,119","Link 'See all 120' straight to Progress grid, sorted by need",,1
T2-10,T2,f,/company/learninghub?tab=students,features/learninghub/mineKit.tsx,Scope toggle,Only Mine/Everyone; no pick-a-tutor; hidden for owner until a student has another tutorUid; label 'lessons' vs 'students' under one stored key; localStorage per browser not per login,3,,"mineKit.tsx:13,29-40; StudentsPanel.tsx:326-327; TutorHome.tsx:158",Tutor picker for owners; key per uid; consistent label,,1
T2-11,T2,g,/company/learninghub?tab=tools,features/learninghub/tools/ToolsPanel.tsx,Tools tab,Tools is a whole tab for owner-irrelevant content; subject chips fixed (not tenant subjects); unbuilt tools shown with 'isn't ready yet',2,,"ToolsPanel.tsx:65,80; registry.ts",Hide unbuilt tools; tenant-subject filter; hideable tab,,1
T2-12,T2,"g,e",/company/learninghub?tab=notes,features/learninghub/curriculum/CurriculumCard.tsx,Lessons top card,NC 2014 curriculum card sits above every lesson list and is duplicated in Progress; UK-NC only,2,,NotesPanel.tsx:646; CurriculumRings.tsx:12; CurriculumCard.tsx:61,Collapse by default to one summary line; hide for non-NC tenants,,1
T2-13,T2,c,/company/learninghub?tab=homework,features/learninghub/homework/TutorHomework.tsx,Homework lists,"Only one homework default (due days); cannot see or standardise how each tutor assigns (groups vs individual, content type); no tutor name on rows",2,,"SetupApp.tsx:2561; HomeworkForm.tsx:46,169",Show tutor on homework/quiz rows; filter by tutor,,1
T2-14,T2,f,/franchise/learninghub,features/learninghub/quiz/AssessmentList.tsx,Franchise content,Franchise cannot tell head-office read-only content from its own; only a lone 'Everyone' chip,2,,AssessmentList.tsx:274; hubCore.ts:187-191,Badge 'From head office' on read-only rows,,1
T2-15,T2,a,/company/learninghub,features/learninghub/HubHero.tsx,Hero stats,Hero + 4 vanity stat tiles (subjects/topics/lessons/worksheets/students) push oversight content down; none are per-tutor,2,,HubHero.tsx:150; 01b-actions.csv 90 words,Replace tiles with tutor-level overdue/unmarked summary,,1
T3-01,T3,5,/{portal}/learninghub?tab=home,features/learninghub/remotesync/TutorLiveBanner.tsx,Broadcast banner,No way to end a forgotten broadcast; banner shows '0 of 8 connected' for up to 6h; Leave keeps it live,4,,"TutorLiveBanner.tsx:29; RemoteSyncApp.tsx:247,284-285; api.ts:51 endRemoteSync has no UI caller",Add End broadcast (confirm) calling endRemoteSync; auto-hide after ~45 min idle,,1
T3-02,T3,6,/{portal}/learninghub?tab=home,features/learninghub/inperson/SetupStep.tsx,Setup: who is here,No register step; attendance is a tick in setup with no record or export,3,,SetupStep.tsx:153-160; InPersonApp.tsx:173,"Register-first step: names as big toggles, all ticked, Start beside it; show attendance summary on finish",,1
T3-03,T3,6,/{portal}/learninghub?tab=home,features/learninghub/inperson/CaptureGrid.tsx,Capture grid at 20 kids,Row-per-child scroll per question; only Everyone got it as bulk; no by-child view,3,,"CaptureGrid.tsx:84,121-125; CLASS_MAX 30 inPersonApi.ts:56",Add by-child mode and Everyone the same answer / all except,,1
T3-04,T3,b,/{portal}/learninghub,features/learninghub/inperson/InPersonApp.tsx,Mark the class failure,"Hand-in failure shows a page-top red bar after the confirm dialog closes; no retry, no offline state",3,,InPersonApp.tsx:125; CaptureGrid.tsx:57-61,"Keep dialog open on error, show Saved on this tablet N unrecorded, auto-retry on reconnect",,1
T3-05,T3,b,/{portal}/learninghub,features/learninghub/inperson/CaptureGrid.tsx,Paper load,Quiz/lesson fetch has no retry when offline at open; only Back,3,,"CaptureGrid.tsx:38-42,55; InPersonApp.tsx:97-101",Retry button; cache paper in localStorage at session start,,1
T3-06,T3,6,/{portal}/learninghub,features/learninghub/inperson/SetupStep.tsx,Setup what to teach,Defaults to Interactive lesson; 13 year buttons; primary button says Start the lesson for a quiz,2,,"SetupStep.tsx:71,146,183",Remember last mode/quiz/group; collapse year filter; label Start,,1
T3-07,T3,4,/{portal}/learninghub?tab=students,features/learninghub/StudentsPanel.tsx,Enrol then group,Enrol and group assignment are separate flows (~10 taps); enrol needs subjects,3,,"StudentsPanel.tsx:196,379-399",Group picker in Enrol modal preset to current group filter,,1
T3-08,T3,2,/{portal}/learninghub,features/learninghub/inperson/ResultsPanel.tsx,Results to marking,Written answers show 'written to mark' but no link to marking queue; one child at a time,2,,ResultsPanel.tsx:88; quiz/MarkingQueue.tsx:21,Link N to mark opening the queue filtered to this session,,1
T3-09,T3,2,/{portal}/learninghub?tab=homework,features/learninghub/homework/MarkDialog.tsx,Homework marking,No bulk or same-mark-for-all; ~4 taps plus feedback per child,2,,MarkDialog.tsx:14; TutorHomework.tsx:256-258,Apply mark to selected; keep canned feedback,,1
T3-10,T3,a,/{portal}/learninghub?tab=home,features/learninghub/home/TutorHome.tsx,Quick actions,"Teach in person is the 6th and last tile, below hero and stat tiles at 768; portal is drawer mode below 1024",2,,TutorHome.tsx:176-189,Make Teach in person the first tile / sticky,,1
T3-11,T3,5,/{portal}/learninghub?tab=live,features/learninghub/remotesync/RemoteSyncApp.tsx,Leave lesson,Red Leave lesson button (testid remote-sync-end) does not end; parents' banner stays,3,,"RemoteSyncApp.tsx:247,284-285",Split into Leave and End for everyone,,1
T3-12,T3,4,/{portal}/learninghub,features/learninghub/inperson/InPersonApp.tsx,Add child mid-session,Add-in-session only for enrolled active children; walk-ins impossible,2,,InPersonApp.tsx:191-196,Allow guest name tally or quick enrol link,,1
T3-13,T3,b,/{portal}/learninghub,features/learninghub/inperson/useClassState.ts,Blocked storage,Private window/blocked localStorage silently loses taps on refresh,2,,"useClassState.ts:26,35",Show a warning when storage write fails,,1
T3-14,T3,b,/{portal}/learninghub,features/learninghub/inperson/InPersonApp.tsx,Attendance offline,Attendance toggles are server PUTs; offline gives an error and no toggle,2,,InPersonApp.tsx:119-123,"Optimistic local attendance, sync later",,1
T4-01,T4,#9 #3,/freelancer/learninghub (Students),lib/hubConfig.ts,Settings,"No per-child accommodations: extra time, no timer, reading options, reduce motion, hide streaks, read-aloud",4,,HubSettings has only marking/retake/homework/mastery keys (hubConfig.ts:7-43),"Add a small per-child Support profile stored on the enrolment, read by quiz/lesson/home",,1
T4-02,T4,#9,Quizzes > New quiz; child quiz runner,shared-assess/TakeAssessment.tsx,Timer pill + intro,Extra time needs a cloned quiz; clock keeps running when child leaves; red pill last 60s; auto hand-in at zero,4,,"TakeAssessment.tsx:77,140-147,260,278,287,354; AssessmentBuilder.tsx:190-193",Per-child timing override (Normal/+25%/+50%/No timer) applied server-side; hide clock digits unless asked,,1
T4-03,T4,C4 #1 #2 #4,Student home; lesson player,home/StudentHome.tsx,Hero streak strip; lesson header pills,"Flame streak, XP, confetti and streak reset on a wrong answer cannot be turned off",4,,"StudentHome.tsx:138-142; LessonPlayer.tsx:255-258,292,315-316; DoneStep.tsx:40","Calm mode flag (per child, or tenant): hide streak, XP, confetti, week dots",,1
T4-04,T4,C4 #1 #2,Home Homework card; Homework tab,homework/hwTypes.ts,"Due chips, red tone, late pill","'Overdue by N days', red warning icon, 'Handed in late', 'it'll be marked as late'; one due date for all assigned",3,,"hwTypes.ts:44,48; StudentHome.tsx:179,194; StudentHomework.tsx:190,333; HomeworkForm.tsx:167-169","Neutral wording ('Due Friday', 'Still to do'), no red for child; per-child due date",,1
T4-05,T4,#13,Tools tab,tools/registryData.ts,Tool tiles,"Read-aloud X-08, Accessibility panel X-09, Timer X-03 are In build; size/spacing only in 2 writing tools and not remembered",3,,"registryData.ts:177,182,183; readingOptions.tsx:6,10-15; ToolsPanel.tsx:18",Build X-08/X-09 first; persist reading options per child,,1
T4-06,T4,#3,Homework > Set homework,homework/HomeworkForm.tsx,Dialog,"8 fields, free-text instructions, default 7 days, child sees a blank 7-row answer box",3,,HomeworkForm.tsx:142-223; StudentHomework.tsx answer textarea (rows=7),"'Short task' preset: due tomorrow, numbered steps shown one at a time, extras collapsed, 'notify later'",,1
T4-07,T4,C4 #1,Student home,home/StudentHome.tsx,Whole page,"~8 blocks, 3 moving items (countdown, week dots, flame), 4 competing buttons",3,,StudentHome.tsx:104-270; NextLesson.tsx:24,"'Today, one thing' card top; rest under More; hide live countdown unless lesson is within an hour",,1
T4-08,T4,#9 C4 #2,Quiz result; retake,shared-assess/retake.tsx,Retake break,"After 3 fails in a row, 30-min lock tenant-wide default; only fix is tutor grant per attempt",2,,"hubConfig.ts:33-36,78-79; retake.tsx:43,66",Per-child override (off / shorter) in Support profile,,1
T4-09,T4,#13,Tools tab,tools/ToolsPanel.tsx,Grid,138 greyed tiles by default; light scope overrides dark/contrast; Tools not in child tabs,2,,"ToolsPanel.tsx:18,77-78; lightScope.ts:5-8; KidMode.tsx:15",'Ready to use only' on by default; honour theme; let tutor pin tools to a child,,1
T4-10,T4,C4 #2,Quiz runner,shared-assess/TakeAssessment.tsx,"Text answer, review step",Enter in a text box moves to next question without a save cue; 'Unanswered questions score no marks' warning; slide animation only stops with OS reduce-motion,2,,"TakeAssessment.tsx onKeyDown (Enter next), review notice ~:354; HubTabs.tsx:17",Show 'Saved' tick on Enter; soften copy; per-child reduce-motion,,1
T5-01,T5,a-b,/freelancer/learninghub?tab=students,features/learninghub/StudentsPanel.tsx,Enrol modal empty list,Cannot enrol a child I name myself: empty list says No children to enrol yet; only route is invite link + parent account + wait,4,,"StudentsPanel.tsx:224-225,:101-130",Put invite first in empty state with native share sheet and prewritten message; consider tutor-typed pending child,,1
T5-02,T5,a,/freelancer/learninghub?tab=home,features/learninghub/home/TutorHome.tsx,Home first screen,"No first-run guidance: 4 zero tiles + 5 'All clear' rows + 6 equal tiles, no order; Enrol is 5th",3,,"HubHero.tsx:149; TutorHome.tsx:32,:57-63,:163-170","When 0 students show a 3-step Get going card (enrol, pick lesson, set homework) and collapse zero cards",,1
T5-03,T5,c,/freelancer/learninghub?tab=homework,features/learninghub/homework/hwPickers.tsx,Homework form Link lessons,"Lesson picker has only a title/body search and 190px list, no Year/Subject filter; 'Year 3 fractions' phrase finds nothing",3,,"hwPickers.tsx:65,:85-91; learningHub.ts:539,:546",Add Year chips and subject select (server already supports year=) and split search into words,,1
T5-04,T5,a,/freelancer (dashboard),features/learninghub/home/EnableHubCard.tsx,Enable card,Card title says Teaching Hub but button says Turn on the Learning Hub; no next step after turning on; Not now hides it forever,2,,"EnableHubCard.tsx:37,:42,:24",Use one name; after success show Open Teaching Hub button,,1
T5-05,T5,a,/freelancer/learninghub (hub off),features/learninghub/LearningHubApp.tsx,Hub-off state,Dead-end sentence 'isn't available on this account. It's off until you switch it on' and a Setup link instead of one-tap enable,2,,LearningHubApp.tsx:163-166,Inline Turn on button reusing EnableHubCard logic,,1
T5-06,T5,b,/freelancer/learninghub?tab=students,features/learninghub/StudentsPanel.tsx,Invite flow,"Invitation sent outside app; no template, no share sheet, two similar boxes (page link vs invite link)",3,,"StudentsPanel.tsx:101,:130,:259-274",Merge into one Invite a parent box with Share button,,1
T5-07,T5,f,/freelancer/learninghub,features/learninghub/HubTabs.tsx,Tab strip,"11 tabs, no icons under 1024px, ~3.5 visible at 390px, Homework needs 2+ swipes, 6 tabs irrelevant on day one; longest label is 'Student message centre'",3,,"HubTabs.tsx:113,:87-95; panels.tsx:31","Progressive disclosure: show 5 core tabs until first student, rest under More; shorten to Messages",,1
T5-08,T5,c,/freelancer/learninghub,features/learninghub/NotesPanel.tsx;home/TutorHome.tsx;homework/TutorHomework.tsx,Assign homework entry points,"Three names (Assign homework / Set homework / Set for children), icon-only list action, segmented control that is also a button",2,,TutorHome.tsx:60; TutorHomework.tsx:126; NotesPanel.tsx:279,One verb everywhere: Set homework; label the row action,,1
T5-09,T5,b-e,/freelancer/learninghub?tab=diagnostic,features/learninghub/quiz/PlacementGuide.tsx,Placement tab,Placement optional (requireDiagnostic false) but never said outside the tab; building needs questions a new tutor lacks; terms Diagnostic/Baseline/Starting quiz vary,2,,lib/hubConfig.ts:74; PlacementGuide.tsx:10-12; AssessmentList.tsx:170,Add Optional line and a link to use a ready-made placement test,,1
T5-10,T5,b,/freelancer/learninghub?tab=live,features/learninghub/LiveLessonsPanel.tsx,Live lessons empty state,Empty state says Enrol a student first but no button to do so; Schedule button hidden until a student exists,2,,LiveLessonsPanel.tsx:208-210; TutorHomework.tsx:122,Show Enrol a student button in the no-student branch,,1
T5-11,T5,d,/freelancer/learninghub?tab=tools,features/learninghub/tools/ToolsPanel.tsx,Tools tab,No purpose line; the meta blurb is not shown; many tiles greyed In build/Coming soon; KS1-KS5 jargon,2,,"ToolsPanel.tsx:14,:35-36,:73",Add one-line intro and link tools to quiz Tool question,,1
T5-12,T5,a,/freelancer/learninghub?tab=home,features/learninghub/HubHero.tsx,Hero + stat tiles,Hero lede lists features not a first step; 4 stat tiles of 0 push the actions below the fold on a phone,2,,"HubHero.tsx:113-116,:149",Hide tiles when all zero; lede: Add your first student to begin,,1
T5-13,T5,e,/freelancer/learninghub,features/learninghub/home/TutorHome.tsx,Quick actions,Teach in person sits alone in the 6th slot of a 2-col grid; the word combos Live lessons/Schedule video lesson/Teach in person are unexplained together,1,,"TutorHome.tsx:57-63,:194-197","Add a hint: With a child beside you, quizzes on your device",,1
T5-14,T5,b,/freelancer/learninghub?tab=students,features/learninghub/StudentsPanel.tsx,Enrol modal copy,"Jargon and assumptions: 'booked with you', 'your page link' with no explanation of my page",2,,StudentsPanel.tsx:225,Plain wording: Ask the parent to sign up with this link,,1
X1-01,X1,any user live lesson,hub/live,features/learninghub/live/board/BoardCanvas.tsx,Whiteboard canvas,No keyboard way to draw a stroke or create text/shape/sticky; keys only switch tool/nudge/delete existing elements,4,,BoardCanvas.tsx:121-127; controller.ts:1183-1215 (creation only via pointerDown/Move/Up),"Add keyboard ""add text/sticky/shape at centre"" actions and arrow-nudge; document in aria-label",,1
X1-02,X1,tutor clear attention,hub/home,features/learninghub/home/TutorHome.tsx,Needs your attention rows,Row switches tab but focus is dropped to body; keyboard/SR user must re-tab from top,4,,TutorHome.tsx:169-173; homeKit.tsx:31; LearningHubApp.tsx:263 tabpanel tabIndex -1 never focused,On go() move focus to the new tabpanel heading and announce destination,,1
X1-03,X1,child quiz with tool question,hub/quizzes take,features/learninghub/shared-assess/ui.tsx,Dialog Escape stack,Assessment dialog handles Escape on document with stopPropagation so ToolHost (window) cannot close; Escape may close the quiz dialog instead,3,,ui.tsx:236-252; ToolHost.tsx:47; both focus traps active,Single modal stack; nested dialog handles Escape first and traps only itself,,1
X1-04,X1,child quiz,hub/quizzes take,features/learninghub/shared-assess/TakeAssessment.tsx,Timer,Time limit auto-submits with no extra-time or pause; timer is role=timer with aria-label changing each second and no polite warning at 5/1 min,3,,TakeAssessment.tsx:77-78,147,,1
X1-05,X1,any,hub all,app/globals.css,Colour tokens,White on --green (2.74) --sem-ok (2.28) --sem-warn (2.15) --sem-info (3.23) --sem-crit (3.76); gold text 1.79,3,,lessonUi.tsx:39; CaptureGrid.tsx:185; PadBoard.tsx:50; WorkView.tsx:101; Lobby.tsx:41; LessonNotesEditor.tsx:141; AreaDrawer.tsx:117,Use --hub-green-fill / --hub-red-ink / dark text on gold everywhere; retire raw --green as a text/fill-with-white colour,,1
X1-06,X1,any dark portal,app/globals.css,app/globals.css,Dark tokens,Global --ink-3 3.81:1 on panel and custdash --ink-3 3.3:1; --brand on dark surface 1.70,3,,globals.css:16,126; computed ratios,,1
X1-07,X1,child quiz,hub/quizzes,features/learninghub/shared-assess/TakeAssessment.tsx,Timer chip,Urgent timer red on red-soft 4.12:1 at 13px,2,,TakeAssessment.tsx:278,Use --hub-red-ink,,1
X1-08,X1,any,hub forms,features/learninghub/kit.tsx,Form controls,Field and tile borders (--line/--hub-warm-line) are 1.2-1.3:1; no 3:1 boundary for controls,3,,kit.tsx:110-118; MatchOrder.tsx:98,Use a 3:1 border token for inputs slots and tiles,,1
X1-09,X1,any,hub all,features/learninghub/LearningHubApp.tsx,Page structure,No h1 and no document.title update on tab change; heading levels skip (h4 first),3,,LearningHubApp.tsx:253-263; NotesPanel.tsx:721,Add one h1 per panel and set document.title per tab,,1
X1-10,X1,any user curriculum,hub/curriculum,features/learninghub/curriculum/CurriculumCard.tsx,Subject tabs,role=tablist/tab without roving tabindex arrows or tabpanel,2,,CurriculumCard.tsx:127-129,Implement pattern or switch to aria-pressed buttons,,1
X1-11,X1,parent switch child,hub/family,features/learninghub/family/FamilyContext.tsx,Who's learning picker,Switching child changes all data with no announcement,2,,FamilyContext.tsx:92,"Add role=status ""Now showing <name>"" and move focus to panel heading",,1
X1-12,X1,any,hub loading,features/learninghub/kit.tsx,Skeletons,role=status with only aria-label and no text; may not announce,2,,kit.tsx:200; LearningHubApp.tsx:146,"Add sr-only ""Loading"" text inside the live region",,1
X1-13,X1,child quiz,hub/quizzes,features/learninghub/shared-assess/MatchOrder.tsx,Match put-back,Removing a placed tile by keyboard relies on selecting it then activating a non-focusable pool div,2,,MatchOrder.tsx:245,"Add ""Put back"" button/Delete key on placed tile",,1
X1-14,X1,tutor homework,hub/homework,features/learninghub/homework/HomeworkForm.tsx,Form errors,No aria-invalid/aria-describedby in quiz homework or marking forms; errors in banner not tied to field,2,,grep shared-assess homework quiz: none; kit.tsx:387,Link errors to fields; focus first invalid,,1
X1-15,X1,any user live lesson,hub/remotesync,features/learninghub/remotesync/FloatingPanel.tsx,Floating window,Resize is pointer only; focus ring uses --brand (1.7:1 on dark); window may cover focused item,2,,FloatingPanel.tsx:88-98,122-124,,1
X1-16,X1,any user live lesson,hub/live,features/learninghub/live/board/BoardCanvas.tsx,Board shortcuts,Single-letter shortcuts stay active after toolbar click; no off switch,2,,BoardCanvas.tsx:64-83; controller.ts:1200,Scope to canvas focus or add setting,,1
X1-17,X1,parent,hub all,features/learninghub/shared-assess/TakeAssessment.tsx,Small text,"447 uses of 11-11.5px; key status line ""Question n of m"" at 11.5px ink-3",2,,TakeAssessment.tsx:274,Min 12.5-14px for status text,,1
X1-18,X1,child,hub/family,features/learninghub/family/ParentGate.tsx,Parent gate,Maths-sum gate is a cognitive barrier and error text 13px --red,2,,ParentGate.tsx:28-31,Offer alternative gate; use --hub-red-ink,,1
X1-19,X1,tutor,hub/students,features/learninghub/tools/maths/CoordGrid.tsx,Coordinate grid,Points draggable by pointer; keyboard needs typed x/y entry; chips 32px,1,,CoordGrid.tsx:46-54,102-104,,1
X1-20,X1,any,hub all,features/learninghub/HubTabs.tsx,Tab strip,Automatic activation on arrows fires a panel load per key; Soon tabs aria-disabled yet openable,2,,HubTabs.tsx:65-77,118,,1
X2-01,X2 DSL,a tutor messages a child,POST /api/learning-hub/doubts,server/src/routes/hub/doubtsApi.ts,Roster Message action,Any in-scope tutor can open a 1:1 thread to any enrolled child; no assignment check or DSL visibility,4,,doubtsApi.ts:96-116; teachingCommon.ts:40-53,Restrict to assigned tutorUid or explicit group; copy DSL mailbox; add report button for child/parent,,1
X2-02,X2 DSL,a tutor messages a child,POST /doubts,server/src/routes/hub/doubtsApi.ts,Message text,No scan for phone numbers/emails/links/keywords; text echoed in parent email,3,,doubtsApi.ts:38 and :111-114,Server-side pattern flag with hold-for-review; strip contact details,,1
X2-03,X2 DSL,DSL wants to review threads,GET /doubts,server/src/routes/hub/doubtsApi.ts,Questions tab,No DSL/HQ oversight list of tutor-child threads; seen flag overwrites without reader/time,3,,doubtsApi.ts:137-143; :206-221,Read-only oversight view plus readBy/readAt log,,1
X2-04,X2 DSL,erase a child,DELETE /api/my/children/:id,server/src/lib/hubPrivacy.ts,Erase,hubDoubts (child text and thread) not erased or exported,4,,hubPrivacy.ts:24-132 has no hubDoubts; grep across my.ts/privacy.ts,Add hubDoubts to export and erase; test that lists every hub collection with childId,,1
